root_nosl,level,deployed_decomp,flag
insigno,8.9,insign/o,
inspiri,8.9,inspir/i,
interpreti,8.9,interpret/i,
intesto,8.9,intest/o,
intima,8.9,intim/a,
inundi,8.9,inund/i,
inventi,8.9,invent/i,
ironio,8.9,ironi/o,
izoli,8.9,izol/i,
jubileo,8.9,jubile/o,
kabano,8.9,kaban/o,
kaduka,8.9,kaduk/a,
kaldrono,8.9,kaldron/o,
kalumnii,8.9,kalumni/i,
kanalo,8.9,kanal/o,
kandidato,8.9,kandidat/o,
karno,8.9,karn/o,
kartono,8.9,karton/o,
katalogo,8.9,katalog/o,
kategorio,8.9,kategori/o,
kazo,8.9,kaz/o,
kaĉo,8.9,kaĉ/o,
kaĝo,8.9,kaĝ/o,
kaŝtano,8.9,kaŝtan/o,
kerno,8.9,kern/o,
kirurgio,8.9,kirurgi/o,
klimato,8.9,klimat/o,
koketa,8.9,koket/a,
kolegio,8.9,kolegi/o,
kolektiva,8.9,kolekt/iv/a,
kolizii,8.9,kolizi/i,
kolombo,8.9,kolomb/o,
kolumno,8.9,kolumn/o,
kombini,8.9,kombin/i,
komedio,8.9,komedi/o,
kompetenta,8.9,kompetent/a,
kompliki,8.9,komplik/i,
komponi,8.9,kompon/i,
koncepto,8.9,koncept/o,
konfidenco,8.9,konfidenc/o,
konkurso,8.9,konkurs/o,
konsekvenco,8.9,konsekvenc/o,
konstitucio,8.9,konstituci/o,
konsumi,8.9,konsum/i,
kontanta,8.9,kontant/a,
koridoro,8.9,koridor/o,
korvo,8.9,korv/o,
kosmo,8.9,kosm/o,
kostumo,8.9,kostum/o,
kranio,8.9,krani/o,
kraĉi,8.9,kraĉ/i,
kredito,8.9,kred/it/o,
kristalo,8.9,kristal/o,
krokodilo,8.9,krokodil/o,
kubo,8.9,kub/o,
kukumo,8.9,kukum/o,
kukurbo,8.9,kukurb/o,
kuniklo,8.9,kunikl/o,
kupono,8.9,kupon/o,
kuseno,8.9,kusen/o,
lado,8.9,lad/o,
lardo,8.9,lard/o,
lekcio,8.9,lekci/o,
liceo,8.9,lice/o,
lilio,8.9,lili/o,
liveri,8.9,liver/i,
logiko,8.9,logik/o,
lojala,8.9,lojal/a,
loto,8.9,lot/o,
lukti,8.9,lukt/i,
luli,8.9,lul/i,
maizo,8.9,maiz/o,
maksimumo,8.9,maksimum/o,
malica,8.9,malic/a,
manipuli,8.9,manipul/i,
maso,8.9,mas/o,
matematiko,8.9,matematik/o,
materio,8.9,materi/o,
mato,8.9,mat/o,
medicino,8.9,medicin/o,
mediteraneo,8.9,mediterane/o,
melono,8.9,melon/o,
menso,8.9,mens/o,
menuo,8.9,menu/o,
mielo,8.9,miel/o,
mineralo,8.9,mineral/o,
minimumo,8.9,minimum/o,
ministerio,8.9,ministeri/o,
modifi,8.9,modif/i,
monstro,8.9,monstr/o,
monumento,8.9,monument/o,
moralo,8.9,moral/o,
multipliki,8.9,multiplik/i,
musko,8.9,musk/o,
neglekti,8.9,neglekt/i,
nenial,8.9,nenial,
nilono,8.9,nilon/o,
nukso,8.9,nuks/o,
oblikva,8.9,oblikv/a,
obstaklo,8.9,obstakl/o,
obstina,8.9,obstin/a,
oceano,8.9,ocean/o,
ofendi,8.9,ofend/i,
orkestro,8.9,orkestr/o,
ortografio,8.9,orto/grafi/o,
pacifiko,8.9,pacifik/o,
palpebro,8.9,palpebr/o,
palpi,8.9,palp/i,
palto,8.9,palt/o,
paneo,8.9,pane/o,
pantoflo,8.9,pantofl/o,
papago,8.9,papag/o,
papilio,8.9,papili/o,
papo,8.9,pap/o,
paradizo,8.9,paradiz/o,
parlamento,8.9,parlament/o,
pasaĝero,8.9,pasaĝer/o,
pasero,8.9,paser/o,
pensio,8.9,pensi/o,
perei,8.9,pere/i,
periodo,8.9,period/o,
perlo,8.9,perl/o,
persiko,8.9,persik/o,
persisti,8.9,persist/i,
pia,8.9,pi/a,
piano,8.9,pian/o,
pioniro,8.9,pionir/o,
pipro,8.9,pipr/o,
planedo,8.9,planed/o,
plasto,8.9,plast/o,
populara,8.9,popular/a,
porcio,8.9,porci/o,
portreto,8.9,portret/o,
principo,8.9,princip/o,
princo,8.9,princ/o,
profesoro,8.9,profesor/o,
programo,8.9,program/o,
projekto,8.9,projekt/o,
pronomo,8.9,pronom/o,
prosperi,8.9,prosper/i,
proverbo,8.9,proverb/o,
provinco,8.9,provinc/o,
psikologio,8.9,psik/o/logi/o,
rafano,8.9,rafan/o,
rano,8.9,ran/o,
reala,8.9,real/a,
recenzi,8.9,recenz/i,
redukti,8.9,redukt/i,
relativa,8.9,relativ/a,
rendevuo,8.9,rendevu/o,
reno,8.9,ren/o,
revizii,8.9,revizi/i,
rezoni,8.9,rezon/i,
reĝimo,8.9,reĝim/o,
rigida,8.9,rigid/a,
rimeno,8.9,rimen/o,
rimo,8.9,rim/o,
rubando,8.9,ruband/o,
ruino,8.9,ruin/o,
sago,8.9,sag/o,
salato,8.9,salat/o,
saliko,8.9,salik/o,
sandviĉo,8.9,sandviĉ/o,
sekcio,8.9,sekci/o,
sekura,8.9,sekur/a,
sindikato,8.9,sindikat/o,
skio,8.9,ski/o,
sociala,8.9,social/a,
sofo,8.9,sof/o,
solena,8.9,solen/a,
solidara,8.9,solidar/a,
sorbi,8.9,sorb/i,
specimeno,8.9,specimen/o,
spiko,8.9,spik/o,
spuro,8.9,spur/o,
stadio,8.9,stadi/o,
stano,8.9,stan/o,
statuo,8.9,statu/o,
staturo,8.9,statur/o,
subjekto,8.9,subjekt/o,
substantivo,8.9,substantiv/o,
subtrahi,8.9,subtrah/i,
sulko,8.9,sulk/o,
surtuto,8.9,surtut/o,
suĉi,8.9,suĉ/i,
tajpi,8.9,tajp/i,
talio,8.9,tali/o,
tarifo,8.9,tarif/o,
tekniko,8.9,teknik/o,
teksto,8.9,tekst/o,
tendenco,8.9,tendenc/o,
teritorio,8.9,teritori/o,
termometro,8.9,term/o/metr/o,
testudo,8.9,testud/o,
tigo,8.9,tig/o,
tigro,8.9,tigr/o,
tikli,8.9,tikl/i,
tomato,8.9,tomat/o,
tradicio,8.9,tradici/o,
tragedio,8.9,tragedi/o,
trejni,8.9,trejn/i,
triki,8.9,trik/i,
trupo,8.9,trup/o,
tubero,8.9,tuber/o,
tumulto,8.9,tumult/o,
tunelo,8.9,tunel/o,
tuno,8.9,tun/o,
turismo,8.9,turism/o,
turisto,8.9,turist/o,
uniformo,8.9,uniform/o,
unika,8.9,unik/a,
vagi,8.9,vag/i,
valida,8.9,valid/a,
varti,8.9,vart/i,
vegetalo,8.9,vegetal/o,
vegetara,8.9,vegetar/a,
venĝi,8.9,venĝ/i,
veti,8.9,vet/i,
viktimo,8.9,viktim/o,
violono,8.9,violon/o,
vipo,8.9,vip/o,
virga,8.9,virg/a,
volumeno,8.9,volumen/o,
volumo,8.9,volum/o,
vomi,8.9,vom/i,
zinko,8.9,zink/o,
zoologio,8.9,zo/o/logi/o,
zumi,8.9,zum/i,
ĉelo,8.9,ĉel/o,
ĉial,8.9,ĉial,
ĝemelo,8.9,ĝemel/o,
ĝermo,8.9,ĝerm/o,
ĥoro,8.9,ĥor/o,
ŝanceli,8.9,ŝancel/i,
ŝaŭmo,8.9,ŝaŭm/o,
ŝinko,8.9,ŝink/o,
ŝpruci,8.9,ŝpruc/i,
abrikoto,9,abrikot/o,
abrupta,9,abrupt/a,
abstini,9,abstin/i,
agento,9,agent/o,
agiti,9,agit/i,
akcio,9,akci/o,
akno,9,akn/o,
akrido,9,akrid/o,
akso,9,aks/o,
alarmo,9,alarm/o,
alaŭdo,9,alaŭd/o,
aleo,9,ale/o,
algo,9,alg/o,
aluminio,9,alumini/o,
ambasado,9,ambasad/o,
ampolo,9,ampol/o,
angilo,9,angil/o,
ansero,9,anser/o,
aperturo,9,apertur/o,
apostolo,9,apostol/o,
apro,9,apr/o,
arterio,9,arteri/o,
artiko,9,artik/o,
asembleo,9,asemble/o,
asfalto,9,asfalt/o,
asisti,9,asist/i,
avantaĝo,9,avantaĝ/o,
aveno,9,aven/o,
aŭdaca,9,aŭdac/a,
bacilo,9,bacil/o,
bakterio,9,bakteri/o,
banto,9,bant/o,
bapti,9,bapt/i,
barbiro,9,barbir/o,
barko,9,bark/o,
basko,9,bask/o,
beto,9,bet/o,
bifsteko,9,bifstek/o,
blasfemi,9,blasfem/i,
bonvoli,9,bon/vol/i,
borso,9,bors/o,
bovlo,9,bovl/o,
braceleto,9,bracelet/o,
brando,9,brand/o,
brido,9,brid/o,
brokanti,9,brokant/i,
bruto,9,brut/o,
budĝeto,9,budĝet/o,
bukedo,9,buked/o,
buko,9,buk/o,
bulbo,9,bulb/o,
buĉi,9,buĉ/i,
centimetro,9,centi/metr/o,
cigaro,9,cigar/o,
cikado,9,cikad/o,
cikatro,9,cikatr/o,
cikonio,9,cikoni/o,
cinamo,9,cinam/o,
cirkelo,9,cirkel/o,
cirkvito,9,cirkvit/o,
ciro,9,cir/o,
daktilo,9,daktil/o,
dando,9,dand/o,
debeto,9,debet/o,
deliri,9,delir/i,
denunci,9,denunc/i,
devontigi,9,dev/ont/ig/i,
dianto,9,diant/o,
dieto,9,diet/o,
dikti,9,dikt/i,
dorloti,9,dorlot/i,
doto,9,dot/o,
dresi,9,dres/i,
efekto,9,efekt/o,
egoisto,9,ego/ist/o,
ekspedi,9,eksped/i,
ekvatoro,9,ekvator/o,
ekzekuti,9,ekzekut/i,
elasta,9,elast/a,
eldoni,9,el/don/i,
elektroniko,9,elektronik/o,
emajlo,9,emajl/o,
enketi,9,enket/i,
epidemio,9,epidemi/o,
eskapi,9,eskap/i,
estigi,9,est/ig/i,
etapo,9,etap/o,
etato,9,etat/o,
faco,9,fac/o,
fago,9,fag/o,
fajenco,9,fajenc/o,
falĉi,9,falĉ/i,
fasado,9,fasad/o,
fasono,9,fason/o,
fasti,9,fast/i,
fazeolo,9,fazeol/o,
felto,9,felt/o,
feo,9,fe/o,
feĉo,9,feĉ/o,
fi!,9,fi!,
figo,9,fig/o,
flagri,9,flagr/i,
flati,9,flat/i,
fluido,9,fluid/o,
fontano,9,fontan/o,
foresti,9,for/est/i,
formiko,9,formik/o,
fotelo,9,fotel/o,
frako,9,frak/o,
funelo,9,funel/o,
furaĝo,9,furaĝ/o,
galo,9,gal/o,
galoŝo,9,galoŝ/o,
garbo,9,garb/o,
garni,9,garn/i,
gelateno,9,gelaten/o,
generalo,9,general/o,
girlando,9,girland/o,
gobio,9,gobi/o,
grego,9,greg/o,
grimaci,9,grimac/i,
grinci,9,grinc/i,
gripo,9,grip/o,
groto,9,grot/o,
gudro,9,gudr/o,
gustumi,9,gust/um/i,
gvardio,9,gvardi/o,
hangaro,9,hangar/o,
haringo,9,haring/o,
havigi,9,hav/ig/i,
hektaro,9,hektar/o,
heĝo,9,heĝ/o,
horizontalo,9,horizontal/o,
iafoje,9,ia/foj/e,
impeti,9,impet/i,
impulso,9,impuls/o,
insidi,9,insid/i,
inspektoro,9,inspektor/o,
instanco,9,instanc/o,
interpelacii,9,interpelaci/i,
invalido,9,invalid/o,
jugo,9,jug/o,
juki,9,juk/i,
jungi,9,jung/i,
kahelo,9,kahel/o,
kajuto,9,kajut/o,
kakao,9,kaka/o,
kakto,9,kakt/o,
kalkanumo,9,kalkan/um/o,
kalo,9,kal/o,
kamelo,9,kamel/o,
kankro,9,kankr/o,
karafo,9,karaf/o,
karnavalo,9,karnaval/o,
karpo,9,karp/o,
kaskedo,9,kasked/o,
kaverno,9,kavern/o,
kejlo,9,kejl/o,
kioma,9,kiom/a,
kirurgo,9,kirurg/o,
kliniko,9,klinik/o,
kokoso,9,kokos/o,
kolonelo,9,kolonel/o,
komisaro,9,komisar/o,
kompensi,9,kompens/i,
komplemento,9,komplement/o,
kompromiti,9,kompromit/i,
komunumo,9,komun/um/o,
koncentri,9,koncentr/i,
konkordo,9,konkord/o,
konsulo,9,konsul/o,
kontesti,9,kontest/i,
konvalo,9,konval/o,
korniko,9,kornik/o,
kresto,9,krest/o,
kulto,9,kult/o,
kurento,9,kurent/o,
laboratorio,9,laboratori/o,
lacerto,9,lacert/o,
lako,9,lak/o,
lanterno,9,lantern/o,
lapo,9,lap/o,
larvo,9,larv/o,
latitudo,9,latitud/o,
latuno,9,latun/o,
laĉo,9,laĉ/o,
laŭbo,9,laŭb/o,
lesivo,9,lesiv/o,
leŭtenanto,9,leŭtenant/o,
licenco,9,licenc/o,
likvo,9,likv/o,
limako,9,limak/o,
lino,9,lin/o,
lokomotivo,9,lokomotiv/o,
longitudo,9,longitud/o,
lotuso,9,lotus/o,
lubriki,9,lubrik/i,
luko,9,luk/o,
majesta,9,majest/a,
maleolo,9,maleol/o,
malvo,9,malv/o,
manovri,9,manovr/i,
marmelado,9,marmelad/o,
metalurgio,9,metalurgi/o,
mirinda,9,mir/ind/a,
mirtelo,9,mirtel/o,
mistifiki,9,mistifik/i,
muzelo,9,muzel/o,
muĝi,9,muĝ/i,
najtingalo,9,najtingal/o,
nervoza,9,nervoz/a,
nuko,9,nuk/o,
oficiro,9,oficir/o,
opero,9,oper/o,
oponi,9,opon/i,
opozicii,9,opozici/i,
oratoro,9,orator/o,
orienti,9,orient/i,
ovalo,9,oval/o,
palato,9,palat/o,
paliso,9,palis/o,
palmo,9,palm/o,
paralelo,9,paralel/o,
paraŝuto,9,paraŝut/o,
pavo,9,pav/o,
pekli,9,pekl/i,
pendolo,9,pendol/o,
perono,9,peron/o,
piceo,9,pice/o,
pigo,9,pig/o,
piloto,9,pilot/o,
plago,9,plag/o,
plando,9,pland/o,
plandumo,9,pland/um/o,
plastiko,9,plastik/o,
platano,9,platan/o,
plenaĝa,9,plen/aĝ/a,
pliigi,9,pli/ig/i,
plonĝi,9,plonĝ/i,
pluralo,9,plural/o,
porcelano,9,porcelan/o,
preskribi,9,preskrib/i,
profeto,9,profet/o,
proletario,9,proletari/o,
proleto,9,prolet/o,
propagandi,9,propagand/i,
propozicio,9,propozici/o,
provoki,9,provok/i,
pruno,9,prun/o,
pudro,9,pudr/o,
punto,9,punt/o,
pupilo,9,pupil/o,
puso,9,pus/o,
racio,9,raci/o,
radiatoro,9,radiator/o,
raŭka,9,raŭk/a,
raŭpo,9,raŭp/o,
reakcio,9,reakci/o,
reflekti,9,reflekt/i,
reformi,9,re/form/i,
regimento,9,regiment/o,
rektangulo,9,rekt/angul/o,
rento,9,rent/o,
resumo,9,re/sum/o,
revolucii,9,revoluci/i,
ribo,9,rib/o,
riveli,9,rivel/i,
riverenci,9,riverenc/i,
rivoluo,9,rivolu/o,
roso,9,ros/o,
rusto,9,rust/o,
sarki,9,sark/i,
satiro,9,satir/o,
sciuro,9,sciur/o,
sekalo,9,sekal/o,
sekci,9,sekc/i,
senato,9,senat/o,
sindona,9,si/n/don/a,
singarda,9,si/n/gard/a,
singularo,9,singular/o,
sino,9,sin/o,
sinteno,9,si/n/ten/o,
situo,9,situ/o,
skorpio,9,skorpi/o,
sledo,9,sled/o,
sorgo,9,sorg/o,
spektaklo,9,spektakl/o,
spinaco,9,spinac/o,
spiti,9,spit/i,
splito,9,split/o,
spongo,9,spong/o,
stadiono,9,stadion/o,
stameno,9,stamen/o,
starti,9,start/i,
sterko,9,sterk/o,
strigo,9,strig/o,
struto,9,strut/o,
substanco,9,substanc/o,
subtila,9,subtil/a,
suplemento,9,suplement/o,
susuri,9,susur/i,
svati,9,svat/i,
takto,9,takt/o,
tapeto,9,tapet/o,
tegolo,9,tegol/o,
tenera,9,tener/a,
teraso,9,teras/o,
terni,9,tern/i,
teĥniko,9,teĥnik/o,
tinkturo,9,tinktur/o,
tinti,9,tint/i,
torento,9,torent/o,
torto,9,tort/o,
tragika,9,tragik/a,
traktato,9,traktat/o,
tramo,9,tram/o,
trumpeto,9,trumpet/o,
tufo,9,tuf/o,
vadi,9,vad/i,
vakso,9,vaks/o,
vanta,9,vant/a,
vejno,9,vejn/o,
veluro,9,velur/o,
vertico,9,vertic/o,
vertikalo,9,vertikal/o,
veruko,9,veruk/o,
vespo,9,vesp/o,
veziko,9,vezik/o,
viadukto,9,viadukt/o,
vindo,9,vind/o,
vulkano,9,vulkan/o,
vulturo,9,vultur/o,
ĉaro,9,ĉar/o,
ĉarumo,9,ĉar/um/o,
ĉeesti,9,ĉe/est/i,
ĉerko,9,ĉerk/o,
ĉifi,9,ĉif/i,
ĝendarmo,9,ĝendarm/o,
ĝibo,9,ĝib/o,
ŝakalo,9,ŝakal/o,
ŝpini,9,ŝpin/i,
ŝtipo,9,ŝtip/o,
